transaction_id,user_id,book_id,transaction_type,transaction_date,source,interaction_weight,days_since_interaction
T00836,U0237,B0006,ebook_rental,2020-01-01,dataset_1,3,2351
T01114,U0301,B0103,paperback_purchase,2020-01-01,dataset_1,5,2351
T01291,U0344,B0101,audiobook_rental,2020-01-02,dataset_1,2,2350
T01734,U0469,B0209,ebook_rental,2020-01-06,dataset_1,3,2346
T01419,U0376,B0079,paperback_purchase,2020-01-07,dataset_1,5,2345
T00480,U0145,B0251,paperback_purchase,2020-01-07,dataset_1,5,2345
T00911,U0254,B0169,paperback_purchase,2020-01-10,dataset_1,5,2342
T00612,U0179,B0236,ebook_rental,2020-01-11,dataset_1,3,2341
T01557,U0427,B0019,ebook_rental,2020-01-11,dataset_1,3,2341
T00009,U0006,B0286,paperback_purchase,2020-01-12,dataset_1,5,2340
T00743,U0215,B0077,paperback_purchase,2020-01-12,dataset_1,5,2340
T00467,U0143,B0221,audiobook_rental,2020-01-14,dataset_1,2,2338
T00772,U0221,B0294,ebook_rental,2020-01-14,dataset_1,3,2338
T00789,U0226,B0075,paperback_purchase,2020-01-15,dataset_1,5,2337
T00686,U0198,B0033,audiobook_rental,2020-01-15,dataset_1,2,2337
T00004,U0002,B0230,paperback_purchase,2020-01-15,dataset_1,5,2337
T01674,U0460,B0196,ebook_rental,2020-01-16,dataset_1,3,2336
T00186,U0067,B0085,audiobook_rental,2020-01-16,dataset_1,2,2336
T01712,U0466,B0153,ebook_rental,2020-01-17,dataset_1,3,2335
T00126,U0051,B0031,ebook_rental,2020-01-18,dataset_1,3,2334
T00843,U0239,B0190,paperback_purchase,2020-01-23,dataset_1,5,2329
T00628,U0182,B0247,ebook_rental,2020-01-24,dataset_1,3,2328
T00502,U0152,B0199,audiobook_rental,2020-01-28,dataset_1,2,2324
T01120,U0302,B0252,paperback_purchase,2020-01-30,dataset_1,5,2322
T00167,U0065,B0109,paperback_purchase,2020-01-30,dataset_1,5,2322
T01583,U0434,B0075,paperback_purchase,2020-01-31,dataset_1,5,2321
T00189,U0067,B0145,paperback_purchase,2020-02-01,dataset_1,5,2320
T00303,U0098,B0249,ebook_rental,2020-02-01,dataset_1,3,2320
T01007,U0276,B0154,ebook_rental,2020-02-02,dataset_1,3,2319
T01563,U0429,B0283,ebook_rental,2020-02-02,dataset_1,3,2319
T01356,U0363,B0076,ebook_rental,2020-02-03,dataset_1,3,2318
T00264,U0085,B0209,paperback_purchase,2020-02-03,dataset_1,5,2318
T01379,U0371,B0178,audiobook_rental,2020-02-05,dataset_1,2,2316
T01252,U0327,B0161,paperback_purchase,2020-02-05,dataset_1,5,2316
T00025,U0012,B0153,ebook_rental,2020-02-06,dataset_1,3,2315
T00969,U0268,B0134,paperback_purchase,2020-02-10,dataset_1,5,2311
T00508,U0152,B0160,audiobook_rental,2020-02-11,dataset_1,2,2310
T01174,U0312,B0031,paperback_purchase,2020-02-12,dataset_1,5,2309
T00990,U0271,B0062,ebook_rental,2020-02-13,dataset_1,3,2308
T00893,U0249,B0072,paperback_purchase,2020-02-15,dataset_1,5,2306
T01604,U0439,B0174,paperback_purchase,2020-02-16,dataset_1,5,2305
T00678,U0191,B0133,paperback_purchase,2020-02-16,dataset_1,5,2305
T00985,U0270,B0238,audiobook_rental,2020-02-18,dataset_1,2,2303
T01096,U0298,B0120,ebook_rental,2020-02-18,dataset_1,3,2303
T00929,U0259,B0252,audiobook_rental,2020-02-18,dataset_1,2,2303
T00448,U0139,B0233,ebook_rental,2020-02-19,dataset_1,3,2302
T01127,U0305,B0037,paperback_purchase,2020-02-19,dataset_1,5,2302
T01281,U0339,B0130,ebook_rental,2020-02-19,dataset_1,3,2302
T00197,U0069,B0104,paperback_purchase,2020-02-22,dataset_1,5,2299
T01776,U0481,B0261,ebook_rental,2020-02-22,dataset_1,3,2299
T01827,U0497,B0082,ebook_rental,2020-02-23,dataset_1,3,2298
T00380,U0121,B0185,ebook_rental,2020-02-23,dataset_1,3,2298
T01388,U0372,B0138,audiobook_rental,2020-02-23,dataset_1,2,2298
T00618,U0179,B0114,audiobook_rental,2020-02-25,dataset_1,2,2296
T00198,U0069,B0073,ebook_rental,2020-02-26,dataset_1,3,2295
T01192,U0314,B0284,audiobook_rental,2020-02-26,dataset_1,2,2295
T00466,U0143,B0292,audiobook_rental,2020-02-26,dataset_1,2,2295
T00933,U0259,B0225,ebook_rental,2020-02-27,dataset_1,3,2294
T01803,U0489,B0290,audiobook_rental,2020-03-01,dataset_1,2,2291
T01479,U0401,B0263,paperback_purchase,2020-03-02,dataset_1,5,2290
T01123,U0303,B0168,audiobook_rental,2020-03-02,dataset_1,2,2290
T00917,U0256,B0069,audiobook_rental,2020-03-03,dataset_1,2,2289
T00403,U0128,B0038,ebook_rental,2020-03-05,dataset_1,3,2287
T01323,U0353,B0291,paperback_purchase,2020-03-06,dataset_1,5,2286
T00360,U0113,B0097,ebook_rental,2020-03-09,dataset_1,3,2283
T01175,U0312,B0031,audiobook_rental,2020-03-09,dataset_1,2,2283
T00505,U0152,B0221,audiobook_rental,2020-03-10,dataset_1,2,2282
T00341,U0110,B0234,paperback_purchase,2020-03-10,dataset_1,5,2282
T01684,U0461,B0064,paperback_purchase,2020-03-13,dataset_1,5,2279
T01097,U0298,B0118,ebook_rental,2020-03-14,dataset_1,3,2278
T01544,U0423,B0105,audiobook_rental,2020-03-15,dataset_1,2,2277
T00522,U0154,B0032,ebook_rental,2020-03-15,dataset_1,3,2277
T01761,U0475,B0037,paperback_purchase,2020-03-16,dataset_1,5,2276
T00590,U0176,B0203,paperback_purchase,2020-03-16,dataset_1,5,2276
T01640,U0452,B0176,paperback_purchase,2020-03-18,dataset_1,5,2274
T01342,U0359,B0086,audiobook_rental,2020-03-19,dataset_1,2,2273
T01791,U0487,B0177,paperback_purchase,2020-03-20,dataset_1,5,2272
T00411,U0128,B0251,paperback_purchase,2020-03-20,dataset_1,5,2272
T01277,U0337,B0138,audiobook_rental,2020-03-23,dataset_1,2,2269
T01011,U0276,B0233,ebook_rental,2020-03-23,dataset_1,3,2269
T00030,U0012,B0142,audiobook_rental,2020-03-24,dataset_1,2,2268
T01288,U0343,B0064,ebook_rental,2020-03-26,dataset_1,3,2266
T01548,U0424,B0094,ebook_rental,2020-03-27,dataset_1,3,2265
T01449,U0391,B0207,audiobook_rental,2020-03-31,dataset_1,2,2261
T00942,U0263,B0009,ebook_rental,2020-04-01,dataset_1,3,2260
T01348,U0360,B0192,audiobook_rental,2020-04-01,dataset_1,2,2260
T00939,U0262,B0021,paperback_purchase,2020-04-02,dataset_1,5,2259
T00793,U0227,B0267,paperback_purchase,2020-04-02,dataset_1,5,2259
T01682,U0461,B0191,paperback_purchase,2020-04-03,dataset_1,5,2258
T01616,U0446,B0255,ebook_rental,2020-04-07,dataset_1,3,2254
T00243,U0080,B0211,ebook_rental,2020-04-07,dataset_1,3,2254
T00125,U0050,B0108,audiobook_rental,2020-04-08,dataset_1,2,2253
T01166,U0311,B0189,ebook_rental,2020-04-09,dataset_1,3,2252
T01615,U0445,B0087,audiobook_rental,2020-04-10,dataset_1,2,2251
T00305,U0098,B0188,paperback_purchase,2020-04-12,dataset_1,5,2249
T01811,U0494,B0152,ebook_rental,2020-04-13,dataset_1,3,2248
T01215,U0319,B0238,paperback_purchase,2020-04-14,dataset_1,5,2247
T01300,U0349,B0229,ebook_rental,2020-04-15,dataset_1,3,2246
T01313,U0350,B0231,ebook_rental,2020-04-15,dataset_1,3,2246
T00028,U0012,B0276,audiobook_rental,2020-04-15,dataset_1,2,2246
T00017,U0010,B0113,ebook_rental,2020-04-16,dataset_1,3,2245
T01093,U0298,B0020,paperback_purchase,2020-04-17,dataset_1,5,2244
T01618,U0447,B0188,audiobook_rental,2020-04-18,dataset_1,2,2243
T00900,U0252,B0155,ebook_rental,2020-04-18,dataset_1,3,2243
T00585,U0175,B0070,ebook_rental,2020-04-19,dataset_1,3,2242
T00119,U0047,B0246,ebook_rental,2020-04-21,dataset_1,3,2240
T01593,U0435,B0031,ebook_rental,2020-04-24,dataset_1,3,2237
T01599,U0437,B0175,paperback_purchase,2020-04-29,dataset_1,5,2232
T01280,U0339,B0010,ebook_rental,2020-05-02,dataset_1,3,2229
T01191,U0314,B0164,ebook_rental,2020-05-02,dataset_1,3,2229
T01221,U0321,B0049,audiobook_rental,2020-05-02,dataset_1,2,2229
T00421,U0129,B0016,paperback_purchase,2020-05-04,dataset_1,5,2227
T00795,U0227,B0269,ebook_rental,2020-05-05,dataset_1,3,2226
T00354,U0113,B0164,audiobook_rental,2020-05-06,dataset_1,2,2225
T01837,U0498,B0221,ebook_rental,2020-05-06,dataset_1,3,2225
T00157,U0063,B0195,ebook_rental,2020-05-07,dataset_1,3,2224
