source_book,recommended_book,rank,title,author,genre
B0001,BOK_159,1,Cloud Architectures (Vol. 1),sujatha rangarajan,technology
B0001,BOK_199,2,The Tech Boom in Bangalore (Vol. 3),sujatha rangarajan,technology
B0001,BOK_113,3,Echoes of Silence,sujatha rangarajan,fiction
B0001,B0272,4,Clues to Mystery,sujatha rangarajan,mystery
B0001,BOK_055,5,The Last Letter (Vol. 1),sujatha rangarajan,fiction
B0001,BOK_068,6,The Chennai Syndicate (Vol. 2),sujatha rangarajan,thriller
B0001,BOK_178,7,The Madurai Murders (Vol. 2),sujatha rangarajan,mystery
B0001,BOK_264,8,The Sky Fortress,sujatha rangarajan,fantasy
B0001,B0065,9,Zero to One Rain,sujatha rangarajan,business
B0001,BOK_261,10,The Great Chola Empire (Vol. 1),sujatha rangarajan,history
B0002,BOK_295,1,The Mango Orchard (Vol. 3),agatha christie,fiction
B0002,B0124,2,The Secret of Dusk,agatha christie,mystery
B0002,B0013,3,Forever Star,agatha christie,romance
B0002,BOK_018,4,Monsoon Dreams,agatha christie,fiction
B0002,B0244,5,The Life of Journey,agatha christie,biography
B0002,B0204,6,Start with Why Light,agatha christie,business
B0002,BOK_232,7,Beyond the Horizon (Vol. 2),agatha christie,fiction
B0002,BOK_287,8,False Identity (Vol. 1),agatha christie,thriller
B0002,BOK_296,9,Terminal Vector (Vol. 2),agatha christie,thriller
B0002,BOK_149,10,The Last Letter (Vol. 5),agatha christie,fiction
B0003,BOK_273,1,Secrets of the Kaveri (Vol. 1),unknown author,mystery
B0003,B0039,2,Hidden Truth Mind,unknown author,thriller
B0003,BOK_211,3,The Chennai Syndicate (Vol. 4),unknown author,thriller
B0003,BOK_269,4,"Love, Chai, and Everything Nice (Vol. 3)",unknown author,romance
B0003,B0138,5,Echoes from Way,unknown author,fiction
B0003,BOK_266,6,Monsoon Dreams (Vol. 6),unknown author,fiction
B0003,B0055,7,Whispers of Blood,unknown author,romance
B0003,BOK_297,8,The Last Letter (Vol. 6),unknown author,fiction
B0003,BOK_031,9,Blackout,unknown author,thriller
B0003,BOK_194,10,Autumn Leaves (Vol. 1),unknown author,romance
B0004,B0077,1,The Last Gold,yashpal,fiction
B0004,B0215,2,Forever Blood,yashpal,romance
B0004,B0051,3,The Tech Wind,yashpal,technology
B0004,B0085,4,The Innovator Path,yashpal,business
B0004,B0166,5,Think and Storm,yashpal,self help
B0004,BOK_192,6,Monsoon Dreams (Vol. 4),r.k. narayan,fiction
B0004,BOK_272,7,Shadows of the Past (Vol. 4),r.k. narayan,fiction
B0004,BOK_234,8,Shadow of the Yeti (Vol. 3),amish tripathi,fantasy
B0004,B0205,9,Beyond the Mystery,harivansh rai bachchan,fiction
B0004,BOK_273,10,Secrets of the Kaveri (Vol. 1),unknown author,mystery
B0005,B0206,1,The Riddle River,durjoy datta,mystery
B0005,B0195,2,The Silent Truth,durjoy datta,thriller
B0005,B0264,3,The Digital Gold,durjoy datta,technology
B0005,B0030,4,The Tech Path,durjoy datta,technology
B0005,B0189,5,The Ancient Mind,durjoy datta,history
B0005,B0258,6,Habits of Voice,j. k. rowling,self-help
B0005,B0174,7,Habits of Rain,ruskin bond,self-help
B0005,B0141,8,The Art of Legend,jhumpa lahiri,self help
B0005,B0294,9,Atomic Mystery,jhumpa lahiri,self help
B0005,B0082,10,Atomic Gold,robin sharma,self help
B0006,B0010,1,The Conspiracy Wind,girish karnad,thriller
B0006,B0018,2,The Wizard Night,girish karnad,fantasy
B0006,B0202,3,Unsolved Way,girish karnad,mystery
B0006,B0105,4,Magic of Mystery,girish karnad,fantasy
B0006,B0114,5,The Lean Night,girish karnad,business
B0006,BOK_093,6,Love in the Time of Monsoons,agatha christie,romance
B0006,BOK_276,7,A Summer in Ooty (Vol. 2),agatha christie,romance
B0006,BOK_194,8,Autumn Leaves (Vol. 1),unknown author,romance
B0006,BOK_198,9,Stars in Your Eyes (Vol. 2),kiran desai,romance
B0006,BOK_184,10,Heartstrings,ashwin sanghi,romance
B0007,B0190,1,A Life in Dreams,gudipati venkatachalam,biography
B0007,B0254,2,The Life of Sun,gudipati venkatachalam,biography
B0007,B0131,3,The Silent Story,gudipati venkatachalam,thriller
B0007,B0246,4,The Secret of Dusk,gudipati venkatachalam,mystery
B0007,B0047,5,Kingdom of Voice,gudipati venkatachalam,fantasy
B0007,B0134,6,Beyond the Mystery,gudipati venkatachalam,fiction
B0007,B0036,7,Dark Secrets Mountain,gudipati venkatachalam,thriller
B0007,B0262,8,The Lost Storm,gudipati venkatachalam,fiction
B0007,B0167,9,The Conspiracy Story,gudipati venkatachalam,thriller
B0007,B0180,10,Good to Great Wind,gudipati venkatachalam,business
B0008,B0156,1,Hidden Truth Story,ashwin sanghi,thriller
B0008,BOK_010,2,The Inheritance of Loss (Vol. 1),ashwin sanghi,fiction
B0008,BOK_246,3,Monsoon Dreams (Vol. 5),ashwin sanghi,fiction
B0008,BOK_054,4,Echoes of Betrayal,ashwin sanghi,thriller
B0008,BOK_244,5,The Midnight Sun (Vol. 5),ashwin sanghi,fiction
B0008,BOK_019,6,The Train to Malgudi,ashwin sanghi,fiction
B0008,BOK_184,7,Heartstrings,ashwin sanghi,romance
B0008,BOK_265,8,Shadow in the Rain (Vol. 1),ashwin sanghi,thriller
B0008,BOK_201,9,The Corporate Ladder (Vol. 1),ashwin sanghi,business
B0008,BOK_100,10,A Suitable Match (Vol. 1),ashwin sanghi,fiction
